threshold,tp,fp,interventions,retained_value,intervention_cost,net_profit
0.05,374,997,1371,157080.0,164520.0,-7440.0
0.06,373,955,1328,156659.99999999997,159360.0,-2700.000000000029
0.07,373,913,1286,156659.99999999997,154320.0,2339.999999999971
0.08,372,884,1256,156240.0,150720.0,5520.0
0.09,372,858,1230,156240.0,147600.0,8640.0
0.09999999999999999,372,830,1202,156240.0,144240.0,12000.0
0.10999999999999999,372,813,1185,156240.0,142200.0,14040.0
0.12,372,791,1163,156240.0,139560.0,16680.0
0.13,372,758,1130,156240.0,135600.0,20640.0
0.13999999999999999,371,731,1102,155820.0,132240.0,23580.0
0.14999999999999997,371,706,1077,155820.0,129240.0,26580.0
0.15999999999999998,370,687,1057,155400.0,126840.0,28560.0
0.16999999999999998,370,667,1037,155400.0,124440.0,30960.0
0.18,368,642,1010,154559.99999999997,121200.0,33359.99999999997
0.19,366,630,996,153720.0,119520.0,34200.0
0.19999999999999996,365,620,985,153299.99999999997,118200.0,35099.99999999997
0.20999999999999996,363,603,966,152460.0,115920.0,36540.0
0.21999999999999997,361,590,951,151620.0,114120.0,37500.0
0.22999999999999998,358,579,937,150360.0,112440.0,37920.0
0.24,358,556,914,150360.0,109680.0,40680.0
0.24999999999999994,355,547,902,149099.99999999997,108240.0,40859.99999999997
0.25999999999999995,354,540,894,148680.0,107280.0,41400.0
0.26999999999999996,351,528,879,147420.0,105480.0,41940.0
0.27999999999999997,351,517,868,147420.0,104160.0,43260.0
0.29,351,497,848,147420.0,101760.0,45660.0
0.3,349,486,835,146580.0,100200.0,46380.0
0.30999999999999994,346,472,818,145320.0,98160.0,47160.0
0.31999999999999995,344,461,805,144480.0,96600.0,47880.0
0.32999999999999996,342,455,797,143640.0,95640.0,48000.0
0.33999999999999997,340,444,784,142799.99999999997,94080.0,48719.99999999997
0.3499999999999999,338,437,775,141960.0,93000.0,48960.0
0.35999999999999993,335,425,760,140699.99999999997,91200.0,49499.99999999997
0.36999999999999994,334,412,746,140280.0,89520.0,50760.0
0.37999999999999995,326,391,717,136920.0,86040.0,50880.0
0.38999999999999996,325,381,706,136499.99999999997,84720.0,51779.99999999997
0.3999999999999999,322,372,694,135240.0,83280.0,51960.0
0.4099999999999999,321,365,686,134820.0,82320.0,52500.0
0.41999999999999993,318,349,667,133560.0,80040.0,53520.0
0.42999999999999994,314,338,652,131880.0,78240.0,53640.0
0.43999999999999995,308,329,637,129360.0,76440.0,52920.0
0.4499999999999999,304,320,624,127679.99999999999,74880.0,52799.999999999985
0.4599999999999999,304,311,615,127679.99999999999,73800.0,53879.999999999985
0.4699999999999999,303,299,602,127260.0,72240.0,55020.0
0.4799999999999999,302,295,597,126839.99999999999,71640.0,55199.999999999985
0.48999999999999994,298,290,588,125160.0,70560.0,54600.0
0.49999999999999994,295,278,573,123900.0,68760.0,55140.0
0.5099999999999999,291,269,560,122220.0,67200.0,55020.0
0.5199999999999999,289,262,551,121379.99999999999,66120.0,55259.999999999985
0.5299999999999999,285,253,538,119700.0,64560.0,55140.0
0.5399999999999999,283,241,524,118860.0,62880.0,55980.0
0.5499999999999999,277,234,511,116339.99999999999,61320.0,55019.999999999985
0.5599999999999999,274,227,501,115079.99999999999,60120.0,54959.999999999985
0.57,271,221,492,113820.0,59040.0,54780.0
0.58,267,214,481,112139.99999999999,57720.0,54419.999999999985
0.59,261,209,470,109620.0,56400.0,53220.0
0.6,256,198,454,107520.0,54480.0,53040.0
0.61,254,186,440,106679.99999999999,52800.0,53879.999999999985
0.62,246,178,424,103320.0,50880.0,52440.0
0.63,240,172,412,100800.0,49440.0,51360.0
0.6399999999999999,232,160,392,97439.99999999999,47040.0,50399.999999999985
0.6499999999999999,230,151,381,96600.0,45720.0,50880.0
0.6599999999999999,227,141,368,95339.99999999999,44160.0,51179.999999999985
0.6699999999999999,223,132,355,93660.0,42600.0,51060.0
0.6799999999999999,217,128,345,91139.99999999999,41400.0,49739.999999999985
0.69,211,121,332,88620.0,39840.0,48780.0
0.7,202,112,314,84839.99999999999,37680.0,47159.999999999985
0.71,197,105,302,82739.99999999999,36240.0,46499.999999999985
0.72,189,97,286,79379.99999999999,34320.0,45059.999999999985
0.73,181,91,272,76020.0,32640.0,43380.0
0.74,176,84,260,73920.0,31200.0,42720.0
0.7499999999999999,167,74,241,70140.0,28920.0,41220.0
0.7599999999999999,160,66,226,67200.0,27120.0,40080.0
0.7699999999999999,147,63,210,61739.99999999999,25200.0,36539.99999999999
0.7799999999999999,136,59,195,57119.99999999999,23400.0,33719.99999999999
0.7899999999999999,130,53,183,54600.0,21960.0,32640.0
0.7999999999999999,120,49,169,50400.0,20280.0,30120.0
0.8099999999999999,115,47,162,48300.0,19440.0,28860.0
0.82,107,42,149,44939.99999999999,17880.0,27059.999999999993
0.83,98,34,132,41160.0,15840.0,25320.0
0.84,91,27,118,38220.0,14160.0,24060.0
0.8499999999999999,82,20,102,34440.0,12240.0,22200.0
0.8599999999999999,73,14,87,30659.999999999996,10440.0,20219.999999999996
0.8699999999999999,63,11,74,26459.999999999996,8880.0,17579.999999999996
0.8799999999999999,50,10,60,21000.0,7200.0,13800.0
0.8899999999999999,36,5,41,15120.0,4920.0,10200.0
0.8999999999999999,27,4,31,11340.0,3720.0,7620.0
0.9099999999999999,20,3,23,8400.0,2760.0,5640.0
0.9199999999999999,10,3,13,4200.0,1560.0,2640.0
0.9299999999999999,4,1,5,1680.0,600.0,1080.0
0.94,0,0,0,0.0,0.0,0.0
0.95,0,0,0,0.0,0.0,0.0
